fromNode	toNode	weight	direction	fromAltName	toAltName
MMT00001077	MMT00064617	0.053085618752608	undirected	Ngfrap1	Vim
MMT00001077	MMT00065115	0.0630220770639288	undirected	Ngfrap1	Fbn1
MMT00001077	MMT00068861	0.0522740774768739	undirected	Ngfrap1	Cd63
MMT00001077	MMT00071856	0.0517642477073362	undirected	Ngfrap1	Col4a2
MMT00001077	MMT00078015	0.0730737148324348	undirected	Ngfrap1	Col1a1
MMT00001077	MMT00078816	0.0518578746082316	undirected	Ngfrap1	Olfml3
MMT00001154	MMT00001245	0.17022504585785	undirected	2600001J17Rik	Cdca3
MMT00001154	MMT00001260	0.173109261923751	undirected	2600001J17Rik	Sgol2
MMT00001154	MMT00001698	0.14908368145578	undirected	2600001J17Rik	Top2a
MMT00001154	MMT00003188	0.126208484541077	undirected	2600001J17Rik	D630024B06Rik
MMT00001154	MMT00003410	0.166238397692431	undirected	2600001J17Rik	2810433K01Rik
MMT00001154	MMT00005561	0.144182896591443	undirected	2600001J17Rik	Solt
MMT00001154	MMT00005727	0.166081280181621	undirected	2600001J17Rik	Fignl1
MMT00001154	MMT00005801	0.173420442336317	undirected	2600001J17Rik	Cdc20
MMT00001154	MMT00006398	0.163484275219592	undirected	2600001J17Rik	D2Ertd750e
MMT00001154	MMT00007657	0.14642424252333	undirected	2600001J17Rik	Kif22
MMT00001154	MMT00008988	0.0740915449717447	undirected	2600001J17Rik	2810027O19Rik
MMT00001154	MMT00009301	0.13964395006685	undirected	2600001J17Rik	Topbp1
MMT00001154	MMT00009824	0.175257840166648	undirected	2600001J17Rik	Kif11
MMT00001154	MMT00010410	0.0966260080751274	undirected	2600001J17Rik	Mcm3
MMT00001154	MMT00010417	0.166089539388035	undirected	2600001J17Rik	Ttk
MMT00001154	MMT00011464	0.198322928962024	undirected	2600001J17Rik	Rad51
MMT00001154	MMT00011856	0.177026912988829	undirected	2600001J17Rik	Tcf19
MMT00001154	MMT00011887	0.0907216092422443	undirected	2600001J17Rik	Rbl1
MMT00001154	MMT00012512	0.178932845047305	undirected	2600001J17Rik	Mki67
MMT00001154	MMT00015199	0.179209370518432	undirected	2600001J17Rik	Sgol1
MMT00001154	MMT00015626	0.200499284895458	undirected	2600001J17Rik	2610510J17Rik
MMT00001154	MMT00017411	0.0664552907857609	undirected	2600001J17Rik	Pcna
MMT00001154	MMT00017895	0.171382411943802	undirected	2600001J17Rik	Ris2
MMT00001154	MMT00017989	0.16365471835687	undirected	2600001J17Rik	Stmn1
MMT00001154	MMT00018081	0.170771885589049	undirected	2600001J17Rik	Kntc2
MMT00001154	MMT00018506	0.168265486786453	undirected	2600001J17Rik	Plk1
MMT00001154	MMT00019167	0.0863228217773435	undirected	2600001J17Rik	2610039C10Rik
MMT00001154	MMT00020107	0.210644495459689	undirected	2600001J17Rik	Cenph
MMT00001154	MMT00021508	0.121225028346046	undirected	2600001J17Rik	AW260467
