nodeName	altName	nodeAttr[nodesPresent, ]
MMT00041355	Plk2	brown
MMT00041665	Upp1	brown
MMT00042835	Dnttip1	red
MMT00042929	Lbp	brown
MMT00042966	Lin7a	red
MMT00042972	Aox1	brown
MMT00043004	Asf1b	red
MMT00043411	Sytl2	brown
MMT00043537	Col6a3	brown
MMT00043939	Gpihbp1	brown
MMT00043964	Lxn	brown
MMT00044287	Mmrn2	brown
MMT00044677	Foxj1	red
MMT00044983	NA	red
MMT00044996	Pex11a	brown
MMT00045200	1600023A02Rik	red
MMT00045252	Stat3	brown
MMT00045344	BC025600	brown
MMT00045751	Zfp423	brown
MMT00045775	2600011E07Rik	red
MMT00046778	Armcx1	brown
MMT00046836	Phlda3	brown
MMT00046909	5430413I02Rik	red
MMT00047127	1500004A08Rik	brown
MMT00047197	BC024988	brown
MMT00047216	2410030K01Rik	red
MMT00047347	Lig1	red
MMT00047418	Gpnmb	brown
MMT00047964	Ect2	red
MMT00048155	Slpi	red
MMT00048209	Spp1	brown
MMT00048535	Il13ra1	brown
MMT00048643	NA	red
MMT00048720	Cbfa2t1h	brown
MMT00048978	Cyp2c50	red
MMT00049092	Ccbl1	brown
MMT00049111	2600006K01Rik	brown
MMT00049221	Hic1	brown
MMT00049383	Kcne3	brown
MMT00049429	Uhrf1	red
MMT00049553	Bok	brown
MMT00049556	Matn2	brown
MMT00049675	Ybx2	red
MMT00049743	NA	brown
MMT00049837	Ddit3	red
MMT00049893	9030622O22Rik	red
MMT00050031	A230035L05Rik	brown
MMT00050086	Gfra1	brown
MMT00050107	Trip13	red
MMT00050363	Map4k4	brown
MMT00050552	NA	brown
MMT00050576	4631416L12Rik	brown
MMT00050815	4632434I11Rik	red
MMT00051144	Nid2	red
MMT00051177	1600015H20Rik	brown
MMT00051244	NA	red
MMT00051278	Reln	brown
MMT00051292	Egfr	brown
MMT00051303	Scara3	brown
MMT00051523	CRAD-L	brown
MMT00051955	Semcap2	red
MMT00052337	Rgs5	brown
MMT00052629	E130314M08Rik	red
MMT00052658	D330037A14Rik	brown
MMT00052695	Proz	brown
MMT00052859	Lama4	brown
MMT00052927	Shcbp1	red
MMT00053210	Polydom	brown
MMT00053218	Armcx2	brown
MMT00053241	Olig2	red
MMT00053310	Nalp6	red
MMT00053383	Krt2-8	red
MMT00053489	Nnmt	brown
MMT00053497	Tk1	brown
MMT00053545	Daf1	brown
MMT00053917	Antxr1	brown
MMT00054136	Synpo	red
MMT00054261	Edn1	brown
MMT00054422	Mrc1	brown
MMT00054464	Ptprb	brown
MMT00054513	D4Ertd421e	red
MMT00054705	Slc13a3	red
MMT00054735	BC038881	brown
MMT00055005	Slc22a7	brown
MMT00055132	1110039C07Rik	brown
MMT00055354	Pola1	red
MMT00055391	Serpina3n	brown
MMT00055441	Tax1bp3	brown
MMT00055454	Stk6	red
MMT00055541	Rrm1	red
MMT00055631	H2afz	red
MMT00055810	BC004701	red
MMT00056001	Pole2	red
MMT00056362	AA960558	brown
MMT00056584	Trfr2	brown
MMT00056614	Defb1	red
MMT00056716	Bicc1	brown
MMT00056798	2310016C16Rik	brown
MMT00056866	Anxa5	red
MMT00057508	Dok4	brown
MMT00058021	Dnaic1	brown
MMT00058036	2410014A08Rik	red
MMT00058158	Tp53i11	brown
MMT00058222	C820005L12Rik	brown
MMT00058315	Mphosph1	red
MMT00058618	Ccnb2	red
MMT00058752	5430416O09Rik	brown
MMT00058765	Pole	red
MMT00058789	Tm4sf3	red
MMT00059054	Lgals1	red
MMT00059202	Rcn	brown
MMT00059241	Ehd3	brown
MMT00059258	Fscn1	brown
MMT00059404	1810008K03Rik	red
MMT00059782	Ctsk	brown
MMT00060094	Large	brown
MMT00060165	Lgtn	red
MMT00060309	Chtf18	red
MMT00060423	Plxnd1	brown
MMT00060443	Pdgfa	brown
